product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,size,color,description,sku
U.S. Polo ASSN. Men's Cotton Regular Fit Comfort Fit Brand Print I683 T-Shirt - Pack of 1,U.S. Polo Assn.,656,899,27,4.0,4,L,Red,,B0819ZVB7W
U.S. Polo ASSN. Men's Cotton Regular Fit Comfort Fit Brand Print I683 T-Shirt - Pack of 1,U.S. Polo Assn.,799,,0,4.0,4,L,TRUE BLUE,,B0819ZV8FY
U.S. Polo ASSN. Men's Cotton Regular Fit Comfort Fit Brand Print I683 T-Shirt - Pack of 1,U.S. Polo Assn.,656,899,27,4.0,4,L,WHITE,,B0819ZF6DY
LEOTUDE Trendy Half Sleeve Oversized Cotton Blend Crew Neck Tshirt for Men t (FS49_Purple_CHILL_P_Purple),LEOTUDE Store,298,,73,4.0,46,3XL,Purple,,
LEOTUDE Trendy Half Sleeve Oversized Cotton Blend Crew Neck Tshirt for Men t (FS49_Purple_CHILL_P_Purple),LEOTUDE Store,298,,73,4.0,46,3XL,Purple,,
U.S. Polo ASSN. Men's Cotton Regular Fit Comfort Fit Brand Print I683 T-Shirt - Pack of 1,U.S. Polo Assn.,719,899,20,4.0,4,L,DENIM MELANGE,,B081B12P6C
Peter England Men's Snug Fit Solid Polo T-Shirt with Coloured Collar Tipping| Cotton Rich| Premium Pique Weave,Peter England Store,649,,35,4.0,2750,M,Lilac,,
U.S. Polo ASSN. Men's Cotton Regular Fit T-Shirt,U.S. Polo Assn. Store,561,,25,4.0,9689,2XL,WHITE,,
Peter England Men's Snug Fit Solid Polo T-Shirt with Coloured Collar Tipping| Cotton Rich| Premium Pique Weave,Peter England,583,,42,4.0,4,M,Light Green,,B0C1RY5NTM
U.S. Polo ASSN. Men's Cotton Regular Fit T-Shirt,U.S. Polo Assn. Store,,,0,4.0,9689,2XL,BURGUNDY MEL,,
U.S. Polo ASSN. Men's Cotton Regular Fit T-Shirt,U.S. Polo Assn.,546,749,27,4.0,4,2XL,NAVY,,B07PJQBNCP
U.S. Polo ASSN. Men's Cotton Regular Fit T-Shirt,U.S. Polo Assn. Store,,,0,4.0,9689,2XL,Black,,
Peter England Men's Snug Fit Solid Polo T-Shirt with Coloured Collar Tipping| Cotton Rich| Premium Pique Weave,Peter England,649,999,35,4.0,4,M,Lilac,,B0C1RXWN1N
Alan Jones Clothing Men's Cotton Regular Fit Mandarin Collar Solid Polo T-Shirt,Alan Jones Clothing Store,427,,64,4.1,1029,M,Maroon,,
Alan Jones Clothing Men's Cotton Regular Fit Mandarin Collar Solid Polo T-Shirt,Alan Jones Clothing,429,,64,4.1,4,M,Black,,B0C2MLNQ2Q
Alan Jones Clothing Men's Cotton Regular Fit Mandarin Collar Solid Polo T-Shirt,Alan Jones Clothing,429,1199,64,4.1,4,M,Dark Grey,,B0C2MPS4TS
"London Hills Men's Cotton Oversized Fit Casual Printed Round Neck, Oversized Longline Drop Shoulder Boho Style T-Shirt",London Hills,299,1299,77,3.8,3,XL,Black,,B0BCKKJ6LL
"London Hills Men's Cotton Oversized Fit Casual Printed Round Neck, Oversized Longline Drop Shoulder Boho Style T-Shirt",London Hills Store,299,,77,3.8,1873,XL,Cream,,
"London Hills Men's Cotton Oversized Fit Casual Printed Round Neck, Oversized Longline Drop Shoulder Boho Style T-Shirt",London Hills,279,1299,79,3.8,3,XL,Charcoal,,B0CM16M275
"London Hills Men's Cotton Oversized Fit Casual Printed Round Neck, Oversized Longline Drop Shoulder Boho Style T-Shirt",London Hills Store,299,,77,3.8,1873,XL,Black,,
U.S. Polo Assn. Men Cotton Regular Fit T-Shirt,U.S. Polo Assn.,587,699,16,3.9,3,L,DREAM BLUE,,B0BT1W28W7
Peter England Men's Premium Branded Regular Fit Half Sleeve Polo T-Shirt | Cotton Rich | Birds Eye Interlock Weave| No Pocket,Peter England Store,,,0,4.1,309,XL,Brown,,
U.S. Polo Assn. Men Cotton Regular Fit T-Shirt,U.S. Polo Assn.,587,699,16,3.9,3,L,DUSTY BLUE,,B0BT1WSW3L
Peter England Men's Premium Branded Regular Fit Half Sleeve Polo T-Shirt | Cotton Rich | Birds Eye Interlock Weave| No Pocket,Peter England Store,,,0,4.1,309,XL,Beige,,
Peter England Men's Premium Branded Regular Fit Half Sleeve Polo T-Shirt | Cotton Rich | Birds Eye Interlock Weave| No Pocket,Peter England,755,1299,42,4.1,4,XL,Green,,B0CK4JVGB4
Allen Solly Men’s Solid Polo T‑Shirt | Regular Fit | Premium Cotton | Contrast Tipping Collar | Smart Casual Wear,Allen Solly Store,839,,40,4.1,7988,L,Navy,,
Allen Solly Men’s Solid Polo T‑Shirt | Regular Fit | Premium Cotton | Contrast Tipping Collar | Smart Casual Wear,Allen Solly,1318,1999,0,4.1,7986,L,Light Blue,"Add a touch of effortless style to your wardrobe with the Allen Solly Shirt, crafted for comfort and everyday elegance. Made using premium-quality fabric, this shirt offers a soft feel, long-lasting durability, and a smart, modern fit. The refined design and signature Allen Solly detailing make it suitable for office wear, casual outings, and weekend gatherings. Versatile and stylish, it ensures you look polished with minimal effort.",B0C7ZLYTQ7
Allen Solly Men’s Solid Polo T‑Shirt | Regular Fit | Premium Cotton | Contrast Tipping Collar | Smart Casual Wear,Allen Solly Store,839,,30,4.1,7988,L,Pink,,
Peter England Men's Premium Branded Regular Fit Half Sleeve Polo T-Shirt | Cotton Rich | Birds Eye Interlock Weave| No Pocket,Peter England,755,1299,42,4.1,4,XL,Charcoal,,B0CK4NP4T2
Allen Solly Men’s Solid Polo T‑Shirt | Regular Fit | Premium Cotton | Contrast Tipping Collar | Smart Casual Wear,Allen Solly Store,839,,40,4.1,7988,L,Black,,
Allen Solly Men’s Solid Polo T‑Shirt | Regular Fit | Premium Cotton | Contrast Tipping Collar | Smart Casual Wear,Allen Solly Store,839,,40,4.1,7988,L,Navy,,
Allen Solly Men’s Solid Polo T‑Shirt | Regular Fit | Premium Cotton | Contrast Tipping Collar | Smart Casual Wear,Allen Solly,839,1399,40,4.1,4,L,Mint Green,,B0C7ZP9S3W
"Leriya Fashion Tshirt for Man | T Shirt for Mans | Mens TShirt's | Collarless T- Shirt for Mens | Half Sleeve Tshirt for Men (Available in Plus Sizes) Polycotton, Regular Fit",Leriya Fashion,679,,66,4.0,896,XL,Beige&Black,,
"Leriya Fashion Tshirt for Man | T Shirt for Mans | Mens TShirt's | Collarless T- Shirt for Mens | Half Sleeve Tshirt for Men (Available in Plus Sizes) Polycotton, Regular Fit",Leriya Fashion,,,0,4.0,896,XL,Dark Green,,
"Leriya Fashion Tshirt for Man | T Shirt for Mans | Mens TShirt's | Collarless T- Shirt for Mens | Half Sleeve Tshirt for Men (Available in Plus Sizes) Polycotton, Regular Fit",Leriya Fashion,390,1999,80,4.0,4,XL,BEIGE,,B0DCS434FQ
"Leriya Fashion Tshirt for Man | T Shirt for Mans | Mens TShirt's | Collarless T- Shirt for Mens | Half Sleeve Tshirt for Men (Available in Plus Sizes) Polycotton, Regular Fit",Leriya Fashion,404,1999,80,4.0,4,XL,BEIGE,,B0DCS434FQ
Max Mens Cotton Blend Solid Regular Fit T-Shirt,Max,627,3099,0,4.2,252,M,Aqua,Men Slim Fit Solid Polo T-shirt,B0CS3LN1V4
Max Mens Cotton Blend Solid Regular Fit T-Shirt,Max,379,664,24,4.2,4,M,Rose Pink,,B0CS3MN3JL
Best WEAR for Mens Printed Polo richTshirts | Half Sleeves | Plain-Regular Fit (Available in Plus Size and Combo,Garima Knitwear,224,,91,3.2,3,XL,Black,,B0FWC7Z7XY
AUSK Men's Retro Cable-Knit Quarter-Zip Polo | Premium Textured Self-Design Half Sleeve T-Shirt for Men,AUSK,729,,0,3.8,9,M,Black & Brown,"Redefine Your Wardrobe with AUSK’s Signature Knit Collection Experience the perfect intersection of vintage charm and modern craftsmanship. AUSK introduces the Vertical Striped Knit Polo—a piece designed for the man who demands more from his basics. Featuring a sophisticated multi-textured ""self-design"" and a contemporary zipper neckline, this polo delivers a structured, ""Old Money"" aesthetic that transitions effortlessly from the boardroom to the bistro.",B0GJF5CCLW
Trillion Jaqquard Men's Polo T Shirt for Men (Polyester Blend | Regular Fit),Trillion,379,1499,75,3.5,3,L,Beige,,B0F56P3K85
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-18-21),Lymio Store,399,,87,3.3,4166,L,Blue,,
Louis Philippe Men's Slim Fit 24s Single-Tuck Pique Stylized Sleeve Print and Contrast Tipping Half Sleeve Solid Polo Cotton T-Shirt,Louis Philippe,799,1499,47,4.0,4,XL,Navy,,B0D4VPP2XF
Louis Philippe Men's Slim Fit 24s Single-Tuck Pique Stylized Sleeve Print and Contrast Tipping Half Sleeve Solid Polo Cotton T-Shirt,Louis Philippe,799,1499,47,4.0,4,XL,Green,,B0D4VNTFZV
