product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,size,color,description,sku
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,959,1999,40,3.7,18237,42,Olive,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMYKXKD
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,959,1999,40,3.7,18237,42,Olive,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMYKXKD
Highlander Men's Cotton Slim Fit Checks Shirt | Full Sleeves | Regular Collar | Casual Shirts for Men,Highlander,1539,3307,0,4.1,504,M,LT PINK/WHITE,Highlander Men'S Slim Fit Shirts | Checked | Long Sleeves | Spread Collar | Casual Shirts | Men Shirts | Shirts For Men | Stylish Shirt For Men,B0F47SWSNL
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,959,,40,3.7,3,42,Black,,B07DMVJ4YR
Highlander Men's Cotton Slim Fit Checks Shirt | Full Sleeves | Regular Collar | Casual Shirts for Men,Highlander,413,,77,4.1,505,M,BLACK/WHITE,,
Highlander Men's Cotton Slim Fit Checks Shirt | Full Sleeves | Regular Collar | Casual Shirts for Men,Highlander,557,3307,69,4.1,505,M,LT PINK/WHITE,Highlander Men'S Slim Fit Shirts | Checked | Long Sleeves | Spread Collar | Casual Shirts | Men Shirts | Shirts For Men | Stylish Shirt For Men,B0F47SWSNL
Highlander Men's Cotton Slim Fit Checks Shirt | Full Sleeves | Regular Collar | Casual Shirts for Men,Highlander,557,999,69,4.1,505,M,DUSTY GREEN/WHITE,Highlander Men'S Slim Fit Shirts | Checked | Long Sleeves | Spread Collar | Casual Shirts | Men Shirts | Shirts For Men | Stylish Shirt For Men,B0F47TFGSN
Highlander Men's Cotton Slim Fit Checks Shirt | Full Sleeves | Regular Collar | Casual Shirts for Men,Highlander,539,999,70,4.1,505,M,LT GREY/WHITE,Highlander Men'S Slim Fit Shirts | Checked | Long Sleeves | Spread Collar | Casual Shirts | Men Shirts | Shirts For Men | Stylish Shirt For Men,B0F47SZ2DY
Highlander Men's Cotton Slim Fit Checks Shirt | Full Sleeves | Regular Collar | Casual Shirts for Men,Highlander,557,3307,69,4.1,505,M,LT PINK/WHITE,Highlander Men'S Slim Fit Shirts | Checked | Long Sleeves | Spread Collar | Casual Shirts | Men Shirts | Shirts For Men | Stylish Shirt For Men,B0F47SWSNL
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO,495,,81,4.0,832,L,GREY,,B0FXRTBV8T
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO Store,495,,81,4.0,832,L,COFFY,,
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO Store,495,,81,4.0,832,L,GREY,,
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO,495,366,81,4.0,832,L,BLACK,,B0FXRS551Y
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO Store,495,,81,4.0,832,L,NAVY BLUE,,
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO,495,,81,4.0,832,L,GREY,,B0FXRTBV8T
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO,495,399,81,4.0,4,L,DARK ORANGE,,B0FXRWKV4C
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO,495,,81,4.0,832,L,WHITE,,B0FXRV7M3W
DEELMO Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear,DEELMO,495,,81,4.0,832,L,GREY,,B0FXRTBV8T
Peter England Men’s Slim Fit Full Sleeve Casual Shirt in Slub Cotton with All-Over Leafy Print,Peter England,1029,2999,36,4.2,102,42,Maroon,"Elevate your casual wardrobe with this stylish maroon full sleeves casual shirt from Peter England Casuals. Crafted from soft cotton, it features a vibrant print that adds a modern twist to your everyday look. Designed for comfort and versatility, this shirt is perfect for relaxed outings and casual gatherings. Embrace a blend of sophistication and style that will surely turn heads.",B0F9DZ87LJ
Peter England Men’s Slim Fit Full Sleeve Casual Shirt in Slub Cotton with All-Over Leafy Print,Peter England,498,2299,0,4.2,102,42,Beige,"Elevate your casual wardrobe with this stylish maroon full sleeves casual shirt from Peter England Casuals. Crafted from soft cotton, it features a vibrant print that adds a modern twist to your everyday look. Designed for comfort and versatility, this shirt is perfect for relaxed outings and casual gatherings. Embrace a blend of sophistication and style that will surely turn heads.",B0F5QJ2DPV
Peter England Men’s Slim Fit Full Sleeve Casual Shirt in Slub Cotton with All-Over Leafy Print,Peter England,1439,,10,4.2,102,42,Black,"Elevate your casual wardrobe with this stylish maroon full sleeves casual shirt from Peter England Casuals. Crafted from soft cotton, it features a vibrant print that adds a modern twist to your everyday look. Designed for comfort and versatility, this shirt is perfect for relaxed outings and casual gatherings. Embrace a blend of sophistication and style that will surely turn heads.",B0F9DV385J
Peter England Men’s Slim Fit Full Sleeve Casual Shirt in Slub Cotton with All-Over Leafy Print,Peter England,1029,,36,4.2,4,42,Maroon,,B0F9DZ87LJ
Peter England Men’s Slim Fit Full Sleeve Casual Shirt in Slub Cotton with All-Over Leafy Print,Peter England,1099,2299,0,4.2,102,42,White,"Elevate your casual wardrobe with this stylish maroon full sleeves casual shirt from Peter England Casuals. Crafted from soft cotton, it features a vibrant print that adds a modern twist to your everyday look. Designed for comfort and versatility, this shirt is perfect for relaxed outings and casual gatherings. Embrace a blend of sophistication and style that will surely turn heads.",B0F9DY7S96
Peter England Men’s Slim Fit Full Sleeve Casual Shirt in Slub Cotton with All-Over Leafy Print,Peter England,1006,,37,4.2,4,42,Green,,B0F9DV2JPY
Peter England Men’s Slim Fit Full Sleeve Casual Shirt in Slub Cotton with All-Over Leafy Print,Peter England,1029,499,36,4.2,4,42,Maroon,,B0F9DZ87LJ
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,1999,63,3.8,8649,M,Brown,"Amazon Brand - Symbol, stands for quality products for men at affordable prices. These timeless and versatile casual shirts are available in classic solids and minimal prints, designed to transition seamlessly from office to casual wear.",B07KWZXKYR
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,1999,61,3.8,8649,M,Amaranth,"Amazon Brand - Symbol, stands for quality products for men at affordable prices. These timeless and versatile casual shirts are available in classic solids and minimal prints, designed to transition seamlessly from office to casual wear.",B0822PSL3C
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,1999,61,3.8,8649,M,Blush Pink,"Amazon Brand - Symbol, stands for quality products for men at affordable prices. These timeless and versatile casual shirts are available in classic solids and minimal prints, designed to transition seamlessly from office to casual wear.",B0822PBQNW
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,2299,63,3.8,8649,M,Black,"Amazon Brand - Symbol, stands for quality products for men at affordable prices. These timeless and versatile casual shirts are available in classic solids and minimal prints, designed to transition seamlessly from office to casual wear.",B07CYW944J
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,499,63,3.8,8649,M,Grey,"Amazon Brand - Symbol, stands for quality products for men at affordable prices. These timeless and versatile casual shirts are available in classic solids and minimal prints, designed to transition seamlessly from office to casual wear.",B07KXBD45X
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,1150,63,3.8,3,M,Granite Green,,B0822PLDCZ
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,1999,63,3.8,8649,M,Brown,"Amazon Brand - Symbol, stands for quality products for men at affordable prices. These timeless and versatile casual shirts are available in classic solids and minimal prints, designed to transition seamlessly from office to casual wear.",B07KWZXKYR
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,1999,63,3.8,8649,M,Brown,"Amazon Brand - Symbol, stands for quality products for men at affordable prices. These timeless and versatile casual shirts are available in classic solids and minimal prints, designed to transition seamlessly from office to casual wear.",B07KWZXKYR
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,549,499,63,3.8,3,M,Brown,,B07KWZXKYR
