crawl_timestamp,uniq_id,page_url,product_name,brand,sku,selling_price,list_price,rating,image_url
"Apr 19, 2026 @ 13:49:16.556",935c0037945dbbd4c6d3b0402671d259,https://www.shoppersstop.com/golden-garden-organic-bowl/p/A24DIN169934,Golden Garden Organic Bowl,HomeStop,A24DIN169934,347,695,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A24DIN169934/A24DIN169934_CLEAR/A24DIN169934_CLEAR.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.613",4b03e15e594ccbd8245852328c40007b,https://www.shoppersstop.com/1-pc-177ml-remkin-bowl-katori-country-cottage/p/A22406CCLP,1 Pc 177ml Remkin Bowl / Katori Country Cottage,Corelle,A22406CCLP,399,499,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A22406CCLP/A22406CCLP_WHITE/A22406CCLP_WHITE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.632",d7e4dd77a19c419f622245aae44931c5,https://www.shoppersstop.com/marigold-pasta-dish-handpainted-stoneware/p/A237605132001,Marigold Pasta Dish - Handpainted Stoneware,Chumbak,A237605132001,796,995,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A237605132001/A237605132001_MULTI/A237605132001_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.644",433b8a41cfdd0166dc76b88a1685df78,https://www.shoppersstop.com/stainless-steel-sigma-dessert-bowl/p/S24SK470,Stainless Steel Sigma Dessert Bowl,Sanjeev Kapoor,S24SK470,79,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S24SK470/S24SK470_SILVER_GREY/S24SK470_SILVER_GREY.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.639",af5331198a2673684b3a461915e7212f,https://www.shoppersstop.com/pooja-thali-eco-3-pcs-set-in-gold-color/p/A22PS0102G,Pooja Thali Eco 3 Pcs Set In Gold Color,FNS,A22PS0102G,848,998,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A22PS0102G/A22PS0102G_GOLD/A22PS0102G_GOLD.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.722",64866007a0f0a8ab4e2e39c9a93f5be1,https://www.shoppersstop.com/grace-ice-cream-bowl-set-of-6-150-ml/p/A24DIN160107,Grace Ice Cream Bowl Set Of 6 150 ml,HomeStop,A24DIN160107,895,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A24DIN160107/A24DIN160107_CLEAR/A24DIN160107_CLEAR.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.742",ed892e47d911504678e0a637c7c089cb,https://www.shoppersstop.com/areca-leaves-veg-bowl-set-of-6-5-inch/p/S24DIN169910,Areca Leaves Veg Bowl Set Of 6 5 Inch,Back To Earth,S24DIN169910,58,195,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S24DIN169910/S24DIN169910_BROWN/S24DIN169910_BROWN.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.733",f6bb59d5f185cde4c8305aed9218c0a2,https://www.shoppersstop.com/modern-solid-matte-beige-soup-bowl-11cm/p/A24DIN160071,Modern Solid Matte Beige Soup Bowl 11Cm,HomeStop,A24DIN160071,72,145,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A24DIN160071/A24DIN160071_BEIGE/A24DIN160071_BEIGE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.751",3fa69f2a27c0b95c74861836ad462fab,https://www.shoppersstop.com/1-pc-296ml-vegetable-dessert-bowl-english-garden/p/A22410ENGLP,1 Pc 296ml Vegetable / Dessert Bowl English Garden,Corelle,A22410ENGLP,420,525,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A22410ENGLP/A22410ENGLP_WHITE/A22410ENGLP_WHITE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.831",2a8adc1b1acd34f4bc22654ef2042e62,https://www.shoppersstop.com/neem-wood-serving-platter-10x8/p/A25BTE18001489,Neem Wood Serving Platter 10X8,Back To Earth,A25BTE18001489,1395,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25BTE18001489/A25BTE18001489_BROWN/A25BTE18001489_BROWN.jpg
