crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 20, 2026 @ 22:12:26.986",ef911f235ba8234bfebbaaa11e1d72fd,https://www.myntra.com/tshirts/oakwyn/oakwyn-men-polo-collar-moisture-wicking-t-shirt/40846743/buy,OAKWYN Men Polo Collar Moisture Wicking T-shirt,OAKWYN,431,1499,71,,,40846743,Purple
"Apr 20, 2026 @ 22:12:27.589",0ab314f719826310938b9abc3b895496,https://www.myntra.com/tshirts/campus+sutra/campus-sutra-men-self-design-polo-collar-cotton-t-shirt/32193153/buy,Campus Sutra Men Self Design Polo Collar Cotton T-shirt,Campus Sutra,781,1699,54,4.4,19097,32193153,White
"Apr 20, 2026 @ 22:12:27.652",3814ed752a73f48f97c7a591010324a3,https://www.myntra.com/tshirts/bhabhadbhut/bhabhadbhut-men-polo-collar-t-shirt/40638715/buy,BHABHADBHUT Men Polo Collar T-shirt,BHABHADBHUT,679,1599,58,,,40638715,Yellow
"Apr 20, 2026 @ 22:12:27.897",84a241713ae8e5affaecb22652910021,https://www.myntra.com/tshirts/oakwyn/oakwyn-men-polo-collar-moisture-wicking-t-shirt/40846723/buy,OAKWYN Men Polo Collar Moisture Wicking T-shirt,OAKWYN,431,1499,71,,,40846723,Brown
"Apr 20, 2026 @ 22:12:29.042",1b882ec8472d511099f4f68e96ce4d1f,https://www.myntra.com/tshirts/earth+conscious/earth-conscious-boys-sky-blue-printed-polo-tshirts/40855289/buy,earth conscious Boys Sky Blue Printed Polo Tshirts,earth conscious,575,575,,,,40855289,Blue
"Apr 20, 2026 @ 22:12:29.704",075e38a9b835530e269e45fc6ab3d68d,https://www.myntra.com/tshirts/oakwyn/oakwyn-men-polo-collar-moisture-wicking-t-shirt/40846782/buy,OAKWYN Men Polo Collar Moisture Wicking T-shirt,OAKWYN,444,1499,70,,,40846782,Purple
"Apr 20, 2026 @ 22:12:29.734",2f09012b36f3e16684ac9dcdeef14842,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138236/buy,Lux Cozi Polo Collar Lounge Tshirts,Lux Cozi,335,419,20,4.2,13983,28138236,Peach
"Apr 20, 2026 @ 22:12:29.886",0fd96bb9e1ae14893309d929019a060e,https://www.myntra.com/tshirts/happy+khajana/happy-khajana-men-polo-collar-t-shirt/39024536/buy,HAPPY KHAJANA Men Polo Collar T-shirt,HAPPY KHAJANA,376,999,62,4.0,746,39024536,Brown
"Apr 20, 2026 @ 22:12:29.916",34598be2b553f0a13d6de12e1d23a2ea,https://www.myntra.com/jeans/stylecast+x+revolte/stylecast-x-revolte-men-wide-leg-mid-rise-light-fade-jeans/37943174/buy,StyleCast x Revolte Men Wide Leg Mid-Rise Light Fade Jeans,StyleCast x Revolte,1479,3999,63,3.5,1066,37943174,Blue
"Apr 20, 2026 @ 22:12:29.947",f85a9d1eda4ef914827e52aac5f4d8e5,https://www.myntra.com/jeans/r.code+by+the+roadster+life+co./rcode-by-the-roadster-life-co-men-mid-rise-jeans/40875362/buy,R.Code by The Roadster Life Co. Men Mid-Rise Jeans,R.Code by The Roadster Life Co.,799,2499,68,,,40875362,Coffee Brown
"Apr 20, 2026 @ 22:12:29.975",40235ddb91a29f0ca717917289ee9a80,https://www.myntra.com/jeans/bene+kleed/bene-kleed-men-ecru-wide-leg-mid-rise-jeans/32757492/buy,Bene Kleed Men Ecru Wide Leg Mid Rise Jeans,Bene Kleed,999,2599,62,3.8,2776,32757492,Beige
